"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,613.727272727273,0.470802093548912,33
"2",1,2,568.868421052632,0.462901438500298,38
"3",1,3,640.933333333333,0.430391723552934,30
"4",1,4,717.6,0.489340968098264,20
"5",1,5,802.714285714286,0.443060964629996,42
"6",1,6,796.848484848485,0.479789741087004,33
"7",1,7,661.30612244898,0.468205975293395,49
"8",1,8,762.75,0.508911419537939,24
"9",1,9,787.972972972973,0.479004782021668,37
"10",1,10,628.75,0.477495489914364,16
"11",2,1,729.384615384615,0.508757915026579,39
"12",2,2,916.826086956522,0.479494531880499,23
"13",2,3,577.0625,0.451681732473388,16
"14",2,4,694.538461538462,0.437137747282187,26
"15",2,5,754.928571428571,0.476173588947573,28
"16",2,6,941.814814814815,0.480409739891105,27
"17",2,7,769.142857142857,0.457206079796389,21
"18",2,8,714.666666666667,0.452626179739116,12
"19",2,9,822.625,0.469133070507619,16
"20",2,10,754.1875,0.504699731452808,32
"21",2,11,758.375,0.485172696989944,32
"22",2,12,926.785714285714,0.468496654204926,28
"23",2,13,681.357142857143,0.513744255645088,14
"24",2,14,689.421052631579,0.487916332341286,19
"25",2,15,620.260869565217,0.496077166723503,23
"26",2,16,515.35,0.45848931375178,20
"27",2,17,918.333333333333,0.449783323261813,6
"28",2,18,688.555555555556,0.502124650949609,18
"29",3,1,1612.54054054054,0.511991749745054,37
"30",3,2,938.666666666667,0.489695539606214,36
"31",3,3,1222,0.502287646565423,41
"32",3,4,1362.94642857143,0.503311448014904,56
"33",3,5,1134.578125,0.516417080816359,64
"34",3,6,1574.56896551724,0.497856627499551,58
"35",3,7,778.176470588235,0.475893091322968,34
"36",3,8,567.047619047619,0.42898418270685,21
"37",3,9,506.6,0.475137434355048,35
"38",3,10,699.24,0.455892736291877,50
"39",4,1,846.052631578947,0.473789602874588,38
"40",4,2,785.555555555556,0.4755722822901,18
"41",4,3,836.555555555556,0.460767561719742,9
"42",4,4,780.75,0.500608159368961,12
"43",4,5,819.333333333333,0.479680156521599,27
"44",4,6,954.321428571429,0.515229554020632,28
"45",4,7,1021.48484848485,0.494410132260068,33
"46",4,8,835.64,0.479862928755816,25
"47",4,9,867.909090909091,0.488224172853962,22
"48",4,10,1109.16666666667,0.49084350763684,12
"49",4,11,1148,0.48511823690323,11
"50",4,12,714.285714285714,0.477919064663055,7
"51",4,13,1059.38461538462,0.475724561810279,13
"52",4,14,645,0.488557337631028,16
"53",5,1,805.678571428571,0.476348364610754,28
"54",5,2,735.904761904762,0.475985873599535,21
"55",5,3,796.75,0.496065071882922,16
