"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,563.09756097561,0.483693258832166,41
"2",1,2,765.261904761905,0.473050629172925,42
"3",1,3,722.083333333333,0.424079134004546,24
"4",1,4,782.64,0.470777098865496,25
"5",1,5,882.151515151515,0.455435908556918,33
"6",1,6,816.904761904762,0.500261235311404,21
"7",1,7,795.473684210526,0.482655938867605,57
"8",1,8,780.764705882353,0.506292984112286,17
"9",1,9,898.333333333333,0.475882386185033,33
"10",1,10,875.166666666667,0.459263516952561,18
"11",2,1,900.8,0.495497691794185,35
"12",2,2,1086.71428571429,0.470766581078643,14
"13",2,3,837,0.485162211146759,16
"14",2,4,930.157894736842,0.461984223258632,19
"15",2,5,857.7,0.497512977281323,20
"16",2,6,1328.83333333333,0.486115365703041,18
"17",2,7,892.117647058824,0.481091064512096,17
"18",2,8,1054.33333333333,0.470834982201987,9
"19",2,9,892.266666666667,0.459823420471178,15
"20",2,10,958.769230769231,0.498348785732344,26
"21",2,11,943.078947368421,0.487464259478516,38
"22",2,12,1083.93548387097,0.48262454956398,31
"23",2,13,870.15,0.51511537357457,20
"24",2,14,916.708333333333,0.487852283072174,24
"25",2,15,867.272727272727,0.515440887074789,22
"26",2,16,770.625,0.482758234536915,8
"27",2,17,909.75,0.446722490176125,8
"28",2,18,890.227272727273,0.484607878620979,22
"29",3,1,1720.85294117647,0.483711989139141,34
"30",3,2,913.65,0.493749751533596,40
"31",3,3,1432.71428571429,0.513797130007114,35
"32",3,4,1374.56818181818,0.532113623831334,44
"33",3,5,1069.79591836735,0.511596346287408,49
"34",3,6,1508.22222222222,0.516257400998918,54
"35",3,7,1012.72222222222,0.475040933082669,36
"36",3,8,570.689655172414,0.436508156013291,29
"37",3,9,695.807692307692,0.491928662489456,26
"38",3,10,808.09756097561,0.445202029358614,41
"39",4,1,858.925,0.471818864672348,40
"40",4,2,890.96,0.488266799460279,25
"41",4,3,949.875,0.486704640006549,16
"42",4,4,873.875,0.500113474363731,8
"43",4,5,935.833333333333,0.464645290604583,36
"44",4,6,1138.77272727273,0.518120500400039,22
"45",4,7,1297.52380952381,0.521999029043352,21
"46",4,8,903.681818181818,0.488271546405889,22
"47",4,9,1089.05555555556,0.487598967844255,18
"48",4,10,1176.875,0.501063141672091,8
"49",4,11,1413.88888888889,0.479733663133458,9
"50",4,12,848.875,0.47336461839181,8
"51",4,13,941,0.463719246687574,3
"52",4,14,595.7,0.523650092867346,10
"53",5,1,943.190476190476,0.488492075082264,21
"54",5,2,869.214285714286,0.488802779727468,14
"55",5,3,772.9375,0.494108170231214,16
