"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,992.520833333333,0.492366485132253,48
"2",1,2,1013.21818181818,0.485900097862697,55
"3",1,3,1059.66666666667,0.452116671233637,54
"4",1,4,1179.05128205128,0.485064047062821,39
"5",1,5,1140.2962962963,0.469326056672859,27
"6",1,6,1212.17391304348,0.487166974151925,23
"7",1,7,955.619718309859,0.502576108811082,71
"8",1,8,1481.64516129032,0.502768812173992,31
"9",1,9,1204.675,0.485934693850809,40
"10",1,10,1271.6976744186,0.486520654325982,43
"11",2,1,2082.61643835616,0.493814941692645,73
"12",2,2,1860.25641025641,0.50970993612719,78
"13",2,3,1311.73076923077,0.489750488637336,78
"14",2,4,1508.02272727273,0.49897542274857,44
"15",2,5,1077.95454545455,0.510634026717079,44
"16",2,6,2303.96721311475,0.500518890642277,61
"17",2,7,1663.90909090909,0.489382101871507,33
"18",2,8,1317.93506493506,0.483283102098562,77
"19",2,9,1401.97826086957,0.484414028645907,46
"20",2,10,1391.55263157895,0.496585486532714,38
"21",2,11,1135.6511627907,0.500317118962346,43
"22",2,12,1552.6,0.501353023198299,25
"23",2,13,996.75,0.515777852115121,28
"24",2,14,1576.20408163265,0.483126152916816,49
"25",2,15,1261.08333333333,0.500235321286345,24
"26",2,16,886.789473684211,0.495424371050458,57
"27",2,17,1208.68421052632,0.479881720982446,19
"28",2,18,1036.96153846154,0.501422270583369,26
"29",3,1,3082.7619047619,0.53806302177564,126
"30",3,2,2134.94117647059,0.499068308756055,119
"31",3,3,2738.48275862069,0.533006866057395,116
"32",3,4,2806.76691729323,0.550785566300045,133
"33",3,5,2682.48201438849,0.536050815172639,139
"34",3,6,2664.88764044944,0.526943193703729,178
"35",3,7,1148.80392156863,0.481265133917382,102
"36",3,8,982.137055837563,0.487642732028569,197
"37",3,9,1167.66,0.527296968306674,100
"38",3,10,1529.19565217391,0.46944956181721,92
"39",4,1,1520.51578947368,0.50414730830556,95
"40",4,2,1752.09090909091,0.495555447731445,33
"41",4,3,1308.14285714286,0.508399500400249,14
"42",4,4,1320.41176470588,0.523477618497174,17
"43",4,5,1267.88461538462,0.4996552335636,26
"44",4,6,1674.09523809524,0.549077668671777,21
"45",4,7,1778.42105263158,0.528528900836467,19
"46",4,8,1347.51515151515,0.507882607923812,33
"47",4,9,1502.52631578947,0.509289458197082,19
"48",4,10,1248.16666666667,0.478805796417359,18
"49",4,11,1497.33333333333,0.494948596914108,12
"50",4,12,1326.47727272727,0.484204477198983,44
"51",4,13,1557.125,0.494864881320981,16
"52",4,14,1143.18367346939,0.510492211456641,49
"53",5,1,1167.53968253968,0.489757154960172,63
"54",5,2,1193.9,0.503172762318233,30
"55",5,3,1219.84615384615,0.496730906442608,39
