"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,344.915254237288,0.456529275296102,59
"2",1,2,465.941860465116,0.4465340741529,86
"3",1,3,535.672131147541,0.433482975435947,61
"4",1,4,539.304347826087,0.448495152215227,69
"5",1,5,553.583333333333,0.44031160502342,48
"6",1,6,653.84,0.483348659821505,50
"7",1,7,594.742424242424,0.458259618919808,66
"8",1,8,582.65625,0.481134628366978,32
"9",1,9,540.289473684211,0.460330242586363,38
"10",1,10,595.205882352941,0.446716014880592,34
"11",2,1,551.153846153846,0.497870575640793,39
"12",2,2,634.850574712644,0.475175358943976,87
"13",2,3,532.695238095238,0.451637049122979,105
"14",2,4,544.910714285714,0.44242973565408,56
"15",2,5,523.026315789474,0.469527051044765,76
"16",2,6,714.27397260274,0.460805227166241,73
"17",2,7,683.75,0.471527101851518,12
"18",2,8,562.987951807229,0.444486444762881,83
"19",2,9,559.333333333333,0.444286080127099,45
"20",2,10,669.491803278689,0.486339849140835,61
"21",2,11,632.093023255814,0.482516592488454,43
"22",2,12,750.739130434783,0.466990696309328,23
"23",2,13,504.611111111111,0.466281858088422,54
"24",2,14,672.96875,0.460531058527217,32
"25",2,15,641.545454545455,0.471356384015583,33
"26",2,16,441.532467532468,0.442320431208691,77
"27",2,17,622.351351351351,0.449597723000341,37
"28",2,18,688.666666666667,0.490257296436913,45
"29",3,1,1238.91358024691,0.487096284881392,81
"30",3,2,679.520547945206,0.457957112397975,73
"31",3,3,1025.47580645161,0.486569775230908,124
"32",3,4,1146.56818181818,0.509448332112467,132
"33",3,5,920.801047120419,0.488549349912449,191
"34",3,6,1239.20689655172,0.49682071614845,203
"35",3,7,533,0.459704427352871,108
"36",3,8,377.074285714286,0.422186076864604,175
"37",3,9,445.725806451613,0.4658282276938,62
"38",3,10,651.854838709677,0.45407783305231,62
"39",4,1,565.030303030303,0.470741108433219,66
"40",4,2,704.52380952381,0.466620525841007,21
"41",4,3,734.642857142857,0.473728118841138,14
"42",4,4,665.375,0.503190753507384,24
"43",4,5,664.892307692308,0.489595624033864,65
"44",4,6,859.333333333333,0.525841886349795,33
"45",4,7,839.3,0.492652057498059,50
"46",4,8,702.536585365854,0.489022917484698,41
"47",4,9,681.25,0.481484283434325,24
"48",4,10,876.083333333333,0.48359245523171,24
"49",4,11,789.772727272727,0.496478890905966,22
"50",4,12,652.492957746479,0.480146736575997,71
"51",4,13,849.44,0.465651559733979,25
"52",4,14,496.016666666667,0.476374008364123,60
"53",5,1,663.444444444444,0.460166312619755,72
"54",5,2,739.058823529412,0.489511388396898,51
"55",5,3,798.885714285714,0.482442260689923,35
