"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,904.452631578947,0.491358116276762,95
"2",1,2,1021.54471544715,0.481394438547587,123
"3",1,3,1067.07586206897,0.46430017567195,145
"4",1,4,1180.8,0.46795172250197,140
"5",1,5,1247.97413793103,0.472030246826846,116
"6",1,6,1340.56896551724,0.481138571717529,58
"7",1,7,1065.03125,0.487740596954205,96
"8",1,8,1286.86363636364,0.50177983934639,22
"9",1,9,1185.12162162162,0.484166304457845,74
"10",1,10,1366.44554455446,0.482785847569812,101
"11",2,1,1483.55,0.508421949186084,80
"12",2,2,1412.43636363636,0.512059211690851,55
"13",2,3,981.375,0.481647818298304,56
"14",2,4,1209.1,0.48022823763699,80
"15",2,5,1209.45918367347,0.496812643231474,98
"16",2,6,2075.11363636364,0.501592864561612,44
"17",2,7,1320.54081632653,0.490685193005344,98
"18",2,8,1224.63953488372,0.479234267164356,86
"19",2,9,1262.98333333333,0.467930804038911,120
"20",2,10,1354.18421052632,0.487126563532442,76
"21",2,11,1209.45714285714,0.500797093783054,140
"22",2,12,1278.96875,0.490998764505205,96
"23",2,13,1122.93684210526,0.512444380137907,95
"24",2,14,1296.29197080292,0.474266863253786,137
"25",2,15,1253.16346153846,0.495910332226284,104
"26",2,16,1010.45454545455,0.489832228587691,66
"27",2,17,1338.03448275862,0.473408604199138,145
"28",2,18,1267.25252525253,0.492997303419506,99
"29",3,1,3087.35294117647,0.533552465128055,119
"30",3,2,1225.3024691358,0.504005854579021,162
"31",3,3,2679.29299363057,0.535062871179722,157
"32",3,4,2513.29090909091,0.547122618412781,110
"33",3,5,2662.25694444444,0.53205574917417,144
"34",3,6,2635.80882352941,0.52607524439938,136
"35",3,7,1074.47586206897,0.474145822510755,145
"36",3,8,1168.86086956522,0.475628252796113,115
"37",3,9,975.10989010989,0.526290539639768,91
"38",3,10,1013.61290322581,0.455453153112219,279
"39",4,1,1435.12258064516,0.494642427814456,155
"40",4,2,1606.25581395349,0.494112038936144,129
"41",4,3,1461.6690647482,0.502087971537256,139
"42",4,4,1356.72440944882,0.49605085446174,127
"43",4,5,1349.33027522936,0.487529998188939,109
"44",4,6,1470.39024390244,0.529826163607902,82
"45",4,7,1473.47208121827,0.504327363140838,197
"46",4,8,1431.76404494382,0.507602807633098,89
"47",4,9,1441.48571428571,0.497905780873095,70
"48",4,10,1573.89655172414,0.48776958046527,29
"49",4,11,1760.09302325581,0.492061046612862,43
"50",4,12,1447.19318181818,0.487962069835977,88
"51",4,13,1527.14583333333,0.489403946745248,48
"52",4,14,1077.88679245283,0.511521196464187,53
"53",5,1,1251.21818181818,0.504895754192613,55
"54",5,2,1183,0.507114759708968,30
"55",5,3,1147,0.502109579932986,9
