"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,899.470588235294,0.486105155040327,51
"2",1,2,924.529411764706,0.487649243080611,51
"3",1,3,1065.2962962963,0.454914827788591,27
"4",1,4,952.657142857143,0.44438245842814,35
"5",1,5,1186.34146341463,0.43266874966572,41
"6",1,6,1075.62068965517,0.48680656877372,29
"7",1,7,1163.93333333333,0.481954076542953,45
"8",1,8,1339.64705882353,0.479885637495729,17
"9",1,9,1171.13953488372,0.48743907196358,43
"10",1,10,1038.71428571429,0.469505055257569,21
"11",2,1,1391,0.479967190950905,52
"12",2,2,1586.96774193548,0.497378660001457,31
"13",2,3,1310.9696969697,0.488371724963783,33
"14",2,4,1455.75757575758,0.486066293328133,33
"15",2,5,1056.92307692308,0.479685097939261,26
"16",2,6,1280.39130434783,0.483240902539628,23
"17",2,7,1075.95,0.476381483212559,20
"18",2,8,1234.76666666667,0.474645198748105,30
"19",2,9,1179.65384615385,0.468979262432108,26
"20",2,10,1311.13157894737,0.488515853624549,38
"21",2,11,1110.89189189189,0.479691568663274,37
"22",2,12,1339.53571428571,0.496336091077024,28
"23",2,13,951.75,0.511603015950714,16
"24",2,14,1292.90322580645,0.477888760624464,31
"25",2,15,1133.04761904762,0.496475838351195,21
"26",2,16,1091.94117647059,0.464845745387569,17
"27",2,17,1219.26666666667,0.4643578400828,15
"28",2,18,1108.05555555556,0.500181387801404,18
"29",3,1,2743.79545454545,0.538731947276601,44
"30",3,2,1479.78431372549,0.49217420835121,51
"31",3,3,2027.44680851064,0.514961579286283,47
"32",3,4,2106.65671641791,0.544287940796265,67
"33",3,5,2010.92452830189,0.532436703609471,53
"34",3,6,2722.35593220339,0.523165589687239,59
"35",3,7,1081.63636363636,0.453461033208776,44
"36",3,8,1189.34782608696,0.470812595361639,46
"37",3,9,1222.58064516129,0.501364207950377,31
"38",3,10,1354.87037037037,0.456691102012607,54
"39",4,1,1205.28888888889,0.489563570019114,45
"40",4,2,1366.33333333333,0.511292135324993,18
"41",4,3,1223.41176470588,0.488679676320892,17
"42",4,4,1315.25,0.496096166712155,12
"43",4,5,1131.24137931034,0.482643263110986,29
"44",4,6,1375.9,0.507307866082774,10
"45",4,7,1479.30434782609,0.511950246433535,23
"46",4,8,1116.53846153846,0.504350928136753,26
"47",4,9,1357.69565217391,0.506033955262805,23
"48",4,10,1325.88888888889,0.486286818064904,9
"49",4,11,1275,0.473471577841175,6
"50",4,12,1262.88235294118,0.494868671589587,17
"51",4,13,1332.9,0.48205167580705,10
"52",4,14,967.888888888889,0.514736370587843,18
"53",5,1,1246.05,0.495116633686931,20
"54",5,2,1243.36363636364,0.515959215521497,11
"55",5,3,1187.6875,0.496390361149889,16
