"","Borough","Sub_Borough","averageRent","averageIndex","population"
"1",1,1,1039.27272727273,0.58079297851528,66
"2",1,2,1107.83783783784,0.573608996773394,74
"3",1,3,1194.1,0.564086620056738,60
"4",1,4,1223.65789473684,0.566427594885725,38
"5",1,5,1373.1724137931,0.546546087613773,29
"6",1,6,1245.03846153846,0.576624415589039,26
"7",1,7,1065.90909090909,0.60842295532774,66
"8",1,8,1383.6,0.592894708765468,25
"9",1,9,1190.44827586207,0.580224007422169,29
"10",1,10,1125.02127659574,0.589286084059369,47
"11",2,1,2606.1568627451,0.597182091997465,102
"12",2,2,1930.14814814815,0.608346112563819,81
"13",2,3,1628.98780487805,0.564738097305153,82
"14",2,4,1934.25925925926,0.576680356949192,54
"15",2,5,1189.42857142857,0.587890526062016,49
"16",2,6,2702.21621621622,0.597730472696664,74
"17",2,7,1951,0.586597480071141,35
"18",2,8,1775.275,0.572948087999758,80
"19",2,9,1578.5306122449,0.573761341643791,49
"20",2,10,1544.88888888889,0.574944938931144,45
"21",2,11,1347.64102564103,0.574743771972699,39
"22",2,12,1668.66666666667,0.588061407749693,33
"23",2,13,1101,0.611169929990008,30
"24",2,14,1675.86153846154,0.574450743647513,65
"25",2,15,1615.73913043478,0.589211611100977,23
"26",2,16,1059.40277777778,0.571313721525757,72
"27",2,17,1392.23529411765,0.563038250606704,51
"28",2,18,1264.4,0.57964972965112,45
"29",3,1,3116.41353383459,0.620365600487844,133
"30",3,2,2092.79047619048,0.583389110862533,105
"31",3,3,2817.45801526718,0.622202788026057,131
"32",3,4,2990.75968992248,0.640506805655072,129
"33",3,5,2846.92517006803,0.60616710499496,147
"34",3,6,2833.37748344371,0.611456741875424,151
"35",3,7,1377.0612244898,0.579879073732009,98
"36",3,8,1074.01176470588,0.572351963091867,170
"37",3,9,1393.05333333333,0.597410670596445,75
"38",3,10,1626.17142857143,0.570162674909772,105
"39",4,1,1835.35632183908,0.578225916163376,87
"40",4,2,2024.51851851852,0.606473810298265,27
"41",4,3,1542.83333333333,0.605590598738419,12
"42",4,4,1257.90909090909,0.612856001170104,11
"43",4,5,1537.04761904762,0.576766076102517,42
"44",4,6,1686.02941176471,0.611580612711951,34
"45",4,7,1633.73076923077,0.598778194443234,26
"46",4,8,1355.85714285714,0.603834884102629,28
"47",4,9,1490.78260869565,0.603978783909014,23
"48",4,10,1332.3,0.581141668788118,20
"49",4,11,1355,0.59007437828852,6
"50",4,12,1318.93939393939,0.569297252586326,33
"51",4,13,1508.72222222222,0.57772261020484,18
"52",4,14,1208.82608695652,0.600733263211545,46
"53",5,1,1297.16923076923,0.582395782092366,65
"54",5,2,1301.82142857143,0.594046675255319,28
"55",5,3,1274.75757575758,0.564839976269927,33
